[l_1, u_1] | [l_2, u_2]; action; prediction; prediction error; fitness; numerosity; experience
[0.3749232929809793, 0.43709117817862814] | [0.43490077351699924, 0.8079763306627066];java.awt.Color[r=229,g=178,b=146];999.9999999999999;1.1368683772161605E-13;0.0771576601948813;4;4192
[0.04384952472323183, 0.6272994882060932] | [0.3748887749144154, 0.0];java.awt.Color[r=0,g=0,b=255];3.452901044728681E-224;2.349123677430415E-221;0.03987086111022379;7;37834
[1.0, 0.8137703860861323] | [0.409330933204556, 1.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.03734309685004997;5;18876
[0.5145947108694654, 0.44099935419672026] | [0.26474277876309366, 0.6878720562616705];java.awt.Color[r=255,g=255,b=255];5.777268356948562E-27;5.064738592924905E-25;0.16756136525237325;15;5300
[0.9896948664584772, 0.0] | [1.0, 0.7514545687427449];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.04835291375839985;7;43048
[0.0, 0.062209296658841035] | [0.6961033717167309, 1.0];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.16412012462979092;10;3244
[0.43570964986127136, 0.12506484481421415] | [0.11248188741057524, 1.0];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.09424888009363054;12;48038
[0.0, 0.312788525473799] | [1.0, 0.749464280321137];java.awt.Color[r=0,g=0,b=0];2.583093571798762E-83;6.638550479522808E-81;0.2644748663926449;29;13382
[0.47420544910766477, 0.6864200542443937] | [0.0, 0.12525002761248727];java.awt.Color[r=255,g=0,b=0];3.334736342699707E-149;1.5173050359283691E-146;0.1278257272476347;12;4552
[0.10644114600952662, 0.06699973292203247] | [0.6929439002165071, 0.8480732565005651];java.awt.Color[r=255,g=255,b=255];1.8833021101666935E-122;7.044277285923372E-120;0.01808165278636581;1;1062
[0.3749232929809793, 0.43709117817862814] | [0.4268616416836249, 0.8079763306627066];java.awt.Color[r=229,g=178,b=146];1000.0;4.9E-324;0.09664535903926177;5;4194
[0.8057425023621374, 0.5667651565430332] | [0.4131992619798255, 0.8740056180710467];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.1470504394926752;19;19422
[1.0, 0.6896984657686172] | [0.06350051005618162, 0.8247776297028044];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.004127759829714566;1;40540
[0.47316637127539385, 1.0] | [0.0, 0.11836407366908125];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.03959428245046973;4;10580
[1.0, 0.6896984657686172] | [0.02721459815325511, 0.8034003415326902];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.03302370240952269;8;41160
[0.32466285507632736, 0.18897059326415266] | [0.19077076297512346, 0.8721189046421605];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.0644107004257288;8;16004
[1.0, 0.5429494476133623] | [1.0, 0.7503762304993409];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.05648834598355286;7;19490
[0.41759477347272483, 0.5610394157201141] | [0.8117927221272371, 0.9121304053170219];java.awt.Color[r=255,g=0,b=0];8.247839478868988E-119;2.9994642904820205E-116;0.04645620746699588;4;2430
[1.0, 0.412123456749828] | [0.8759995309456636, 1.0];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.029186322192824486;4;12458
[1.0, 0.4750685296159228] | [1.0, 0.7503762304993409];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.05564149149690937;7;22296
[0.1877030438510175, 0.43709117817862814] | [0.44184507528317724, 0.3945407374201028];java.awt.Color[r=229,g=178,b=146];999.9999999999999;1.1368683772161605E-13;0.14060293724374348;5;2010
[0.0, 0.062209296658841035] | [0.691078690452791, 0.9722694596722357];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.12025842094330591;8;2924
[0.3711263526120836, 0.25060641470336514] | [0.6847627246062289, 0.749464280321137];java.awt.Color[r=0,g=0,b=0];999.9999999999999;1.1369628047088029E-13;0.24075952944764983;7;1254
[0.9020488124280247, 0.0] | [1.0, 0.7503762304993409];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.04070901909194001;6;38126
[0.8413717028132601, 1.0] | [0.5602898402826777, 0.4390475411151188];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.04963044786088638;4;3264
[0.7429788911543267, 0.6285208530073748] | [0.3240980615461143, 0.37249890313974654];java.awt.Color[r=0,g=0,b=255];1000.0;6.509187465308968E-115;0.0834118775311115;4;892
[0.0, 0.062209296658841035] | [0.691078690452791, 0.9307926572631944];java.awt.Color[r=255,g=0,b=0];2.4E-322;2.3494E-319;0.17786734087704686;11;2452
[0.1872224673215863, 0.0] | [0.9354893436610588, 0.7536094501524156];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.06101441625586533;5;5644
[0.47316637127539385, 1.0] | [0.0, 0.12525002761248727];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.07979070487681084;8;11024
[0.8130789131490623, 1.0] | [0.5602868599595201, 0.4437112749879535];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.04699210525794383;3;3718
[0.0, 1.0] | [0.1250010062522719, 0.0];java.awt.Color[r=139,g=69,b=19];2.161848657816456E-169;1.1147932912140221E-166;0.08429205207186642;13;20994
[0.6003522991369059, 0.0] | [0.24915076694261468, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.03432812769136672;5;24952
[0.48299326739331533, 0.0] | [0.24761947486442015, 0.0];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.05054381279235214;8;20250
[0.3807699839673532, 0.5320262873444667] | [0.3370523873807639, 0.1802170256945243];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.0796936865994885;10;3956
[1.0, 0.6257518828436619] | [0.09707838152434461, 0.24527128577823806];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.02259215511269785;3;9152
[0.3694915406931109, 0.4904780783117847] | [0.5238012766258056, 0.6181711494469438];java.awt.Color[r=0,g=0,b=255];1.0019442689411838E-298;9.05430766564183E-296;0.10542284187516708;10;1920
[0.18905931921150917, 0.3749610414039427] | [0.1903129565274948, 0.3224701926787008];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.14878152196349148;14;4270
[0.06146854730139891, 0.0] | [0.7742777720778756, 0.6883091790738676];java.awt.Color[r=255,g=0,b=0];6.926835918798441E-107;2.2686520290819234E-104;0.13595452436190492;8;866
[1.0, 0.8765417259495923] | [0.43638347990321796, 1.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.02812128700938953;4;11250
[0.4980084176672056, 0.0] | [0.24761947486442015, 0.0];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.044260766164282275;7;20570
[0.0, 1.0] | [1.0, 0.8804883664626326];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.0741190583737762;9;19372
[0.6218305250310895, 0.0] | [0.24915076694261468, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.054976795586671824;8;25192
[0.5002652228322662, 0.8127267831398005] | [0.337613960327554, 0.1960670565291899];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.02461762846998429;3;7274
[0.800061435701736, 0.8753860097009039] | [0.566305018360619, 0.7487537608121733];java.awt.Color[r=0,g=0,b=255];999.9999999999999;1.1368683772161605E-13;0.19978184547599284;12;2188
[0.6906530720701337, 0.6285208530073748] | [0.6259941496176444, 0.6850621453396389];java.awt.Color[r=0,g=0,b=255];999.9999999999999;1.1368683772161605E-13;0.31154592155427596;8;638
[0.0, 0.312788525473799] | [0.9637934029988666, 0.7993443717265493];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.06034412422192487;7;8184
[1.0, 0.8665202239437154] | [0.12484684792332998, 0.0];java.awt.Color[r=255,g=255,b=255];999.9999999999999;1.1368683772161605E-13;0.1492566328957786;14;2770
[1.0, 0.0] | [1.0, 0.7514545687427449];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.054382199275091525;8;40360
[0.0, 0.061821719837682906] | [0.6947943751252665, 1.0];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.10748449317444711;6;3074
[1.0, 0.9386277609835232] | [0.87167001822364, 0.7743623565917322];java.awt.Color[r=255,g=255,b=255];4.132688807811161E-111;1.3803180618089304E-108;0.3065161636788245;9;984
[0.24840617621355968, 0.0] | [1.0, 0.8819901312245898];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.037355431482427634;3;4644
[1.0, 0.8144613554866725] | [0.03407490444287431, 1.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.06162807717927036;8;28470
[0.26156726314847617, 0.30829547889106285] | [0.6864239610923994, 0.6121470723957557];java.awt.Color[r=0,g=0,b=0];4.295831518093073E-78;1.0398045163352212E-75;0.6195743588657115;11;502
[0.37502556362495865, 0.31492559054844466] | [0.30776851952278533, 0.1894357596974125];java.awt.Color[r=139,g=69,b=19];999.9999999999999;1.1368683772236756E-13;0.7517049035225658;21;1130
[0.9012253672342838, 1.0] | [0.42033417995702205, 1.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.06423337701001072;9;9030
[0.43820545824380214, 0.6107554523769532] | [0.43504427641309945, 0.3809005797438948];java.awt.Color[r=0,g=0,b=255];999.9999999999999;1.1368683772161605E-13;0.0937419448009036;3;1474
[0.0, 0.062209296658841035] | [0.6878065570609748, 1.0];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.20569377434062236;12;2982
[0.32466285507632736, 0.5620860733883264] | [0.3133649770776765, 0.6239823506627293];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.030520985661743744;3;11874
[0.30317190767686963, 0.2518429793156837] | [0.9319059532110164, 0.8269766419002265];java.awt.Color[r=229,g=178,b=146];1000.0;7.690558122459075E-111;0.04497771237447299;1;878
[0.8010364965823122, 0.6248578319809635] | [0.12473916878164569, 0.24832212508355458];java.awt.Color[r=229,g=178,b=146];999.9999999850318;4.839709000637848E-7;0.10234057754163528;7;3488
[0.3730324847816896, 0.31670309974971633] | [0.6335350088446393, 0.877118435013333];java.awt.Color[r=0,g=0,b=0];999.9999931237168;1.6732289118083637E-4;0.12597066821922884;4;2042
[0.4338690735442133, 0.18897059326415266] | [0.6793907699429435, 0.8121981070805397];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.1266806703330991;10;5116
[0.9926130827198761, 0.42802600843401395] | [1.0, 0.7503762304993409];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.05080486787703813;7;22350
[0.2500184519784991, 0.0] | [1.0, 0.8770741024486244];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.13091773921928826;10;4734
[1.0, 0.42802600843401395] | [1.0, 0.7503762304993409];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.07048201786210362;9;22474
[0.5174501737644757, 1.0] | [0.6673449693330963, 1.0];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.03019903593432732;7;25136
[0.8748768582371576, 0.7523650074923474] | [0.2505169899887439, 0.4354687281231];java.awt.Color[r=0,g=0,b=255];1000.0;4.9E-324;0.08992652938372177;6;3692
[1.0, 0.6896984657686172] | [0.018839140847818868, 0.8247776297028044];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.024215236031546277;6;39082
[0.7509459274855583, 0.0] | [0.3070453051039232, 0.0];java.awt.Color[r=0,g=0,b=255];1.4069307120532219E-124;5.360406012922778E-122;0.04561998483158336;8;35948
[0.8130789131490623, 1.0] | [0.5602868599595201, 0.44288645496889595];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.08272020304953329;5;3502
[1.0, 0.0] | [0.6200482022920965, 0.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.05395509432398618;12;96440
[0.0, 1.0] | [0.6187216418756519, 1.0];java.awt.Color[r=255,g=255,b=0];9.66604709270611E-94;2.7870435783969266E-91;0.06322566782846036;14;59348
[0.6878418977355042, 0.6285208530073748] | [0.43601220517457423, 0.37249890313974654];java.awt.Color[r=0,g=0,b=255];3.3424202719309508E-15;1.7507561814708183E-13;0.7638886444381022;13;590
[1.0, 0.8765417259495923] | [0.0, 1.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.04054200927478252;6;19060
[0.8623115871071683, 0.817054434267439] | [1.0, 0.7672319294992218];java.awt.Color[r=255,g=255,b=255];1000.0;1.2225187422262618E-192;0.03861947504952312;3;1606
[0.49867023479997297, 0.39483829952994415] | [0.8171051144214946, 0.6253238459916494];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.14755507468166876;15;2930
[0.1240793845430118, 0.34290725417878787] | [0.9378151881026426, 1.0];java.awt.Color[r=229,g=178,b=146];6.207932668290168E-228;4.278998223369473E-225;0.18742086228045993;10;2036
[1.0, 0.8753860097009039] | [0.0, 0.837618693891173];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.04935756619468066;7;16064
[0.30391558032355137, 0.18932320874264075] | [0.3111829335466709, 0.25141597788387837];java.awt.Color[r=229,g=178,b=146];1000.0;3.061657813719672E-137;0.2038114726036398;6;1116
[0.0, 0.8096808174690469] | [0.3113856177287851, 0.6878720562616705];java.awt.Color[r=255,g=255,b=255];7.429408628032706E-290;6.520544305870054E-287;0.04379226211110329;6;47086
[1.0, 0.6896984657686172] | [0.0, 0.7807088386800568];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.02893693568748;7;37188
[1.0, 0.6896984657686172] | [0.0, 0.8247776297028044];java.awt.Color[r=255,g=255,b=0];4.9E-324;1.0E-323;0.024767200662744775;6;38970
[0.9754476816532027, 0.0] | [0.24994493841809373, 0.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.033360719920472556;6;37090
[0.8659437489668238, 0.8133335589116624] | [0.06616959508401718, 0.25113728989588224];java.awt.Color[r=255,g=255,b=255];999.9999999999999;1.1368683772161605E-13;0.11566986271840474;7;1520
[1.0, 0.8753860097009039] | [0.09359769961154021, 1.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.046869056945580974;7;17208
[0.0, 0.0639565361191675] | [0.3062896609382542, 0.2193257517057356];java.awt.Color[r=255,g=255,b=255];999.9999991088337;2.4061490337086335E-5;0.18884224986946593;7;844
[0.7923455678480004, 1.0] | [1.0, 0.8747365616188958];java.awt.Color[r=139,g=69,b=19];8.842956788829325E-5;0.0018570209256541586;0.04708163482911098;4;3850
[1.0, 0.0] | [0.24994493841809373, 0.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.05232329952706595;9;37880
[1.0, 0.8753860097009039] | [0.0, 0.8651792137174816];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.04928602501048125;7;16314
[0.6878418977355042, 0.8126760604142513] | [0.3110810419708651, 0.6825804862456546];java.awt.Color[r=0,g=0,b=255];999.9999999999999;1.1368683772161605E-13;0.053216595235994944;3;7270
[0.6218224506632174, 0.49940923369217133] | [0.18673905229351567, 0.37556658870832965];java.awt.Color[r=255,g=0,b=0];999.9999999999999;1.1368683772161605E-13;0.2634515156169735;13;3564
[0.0, 0.061821719837682906] | [0.6851766839552654, 0.9164470146629146];java.awt.Color[r=255,g=255,b=255];999.9999999999999;1.1388922860948062E-13;0.10990072379054025;6;2158
[0.8754751783750871, 0.7508966825611286] | [0.566305018360619, 0.7487537608121733];java.awt.Color[r=0,g=0,b=255];999.9999999999999;1.1368683772161605E-13;0.12712574687785072;10;3432
[0.7416954339989256, 0.0] | [0.6882984163678103, 1.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.039619338261745254;6;34784
[0.5048199906604088, 0.0] | [0.8776475010930791, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.04555432358944082;6;9094
[1.0, 0.8137703860861323] | [0.88716194128833, 0.11969016441626719];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.069096135254262;9;21100
[0.4366874027349222, 0.12506484481421415] | [0.5762280283777829, 0.0];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.043858683900830475;6;27394
[0.6249635148048638, 0.02002799396400971] | [0.24915076694261468, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.027609806965227884;4;22474
[0.5002652228322662, 0.8127267831398005] | [0.19077076297512346, 0.8130069348207059];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.05212046839580991;7;29502
[0.8770612368778619, 1.0] | [0.5833036685022845, 0.8108848393768862];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.08058750294155963;8;4096
[0.3087620736230531, 0.18932320874264075] | [0.3068202928446211, 0.25141597788387837];java.awt.Color[r=229,g=178,b=146];1000.0;2.3081705111629974E-130;0.11811790363059185;4;1054
[0.6875583636331449, 0.6257518828436619] | [0.0, 0.2505647911209448];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.06636002710728921;7;2222
[0.43615871227659964, 0.3758831646455323] | [0.31439894324699996, 0.21410348071203977];java.awt.Color[r=255,g=255,b=255];999.9995905948715;0.007778811200233058;0.06080413615773172;2;892
[0.6930337164582995, 0.5722949250401211] | [0.25721680255185053, 0.3102052187771092];java.awt.Color[r=255,g=0,b=0];999.9999999999999;1.471585950056173E-13;0.21679423179960436;6;982
[0.18630349594510776, 0.0] | [0.0, 0.2476011623054879];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.05230004937435208;5;7020
[0.5048199906604088, 0.0] | [0.8765234193564673, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.05040600517705683;8;9092
[0.12706969731620618, 0.0] | [0.2504108021554379, 0.0];java.awt.Color[r=255,g=0,b=0];8.089842700943374E-48;1.2161730193751529E-45;0.16968857512918586;18;4734
[1.0, 0.875285923090556] | [0.4368988682839832, 0.18939980059912703];java.awt.Color[r=139,g=69,b=19];1000.0;4.9E-324;0.12517591320915422;8;4546
[1.0, 0.0] | [1.0, 0.7503762304993409];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.03475756494380032;5;36654
[0.18863659189865017, 0.12865660428169196] | [0.4362764218027212, 0.24589516461779215];java.awt.Color[r=139,g=69,b=19];999.9993176676987;0.01250950096272067;0.48812766680689496;8;1698
[1.0, 0.8759908997513834] | [0.8124673340080641, 0.5783831772861137];java.awt.Color[r=139,g=69,b=19];1000.0;4.9E-324;0.09099426570439606;6;4260
[1.0, 0.8753860097009039] | [0.0, 1.0];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.03349625448946819;5;18178
[1.0, 0.0] | [0.8765234193564673, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.06700812423142756;13;17876
[0.6249635148048638, 0.0] | [0.24915076694261468, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.02746117745141168;4;22672
[0.3062927679946638, 0.0] | [0.0, 0.18764274358137834];java.awt.Color[r=139,g=69,b=19];6.075299292117995E-106;1.9744722699383466E-103;0.07410458006774842;10;8436
[0.7804287326902852, 0.56757448691868] | [0.3779256169021998, 0.6239734533611897];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.06368200495854276;9;7622
[1.0, 0.8137703860861323] | [0.03407490444287431, 1.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.03082885141554432;4;25780
[0.9835026914016491, 0.0] | [1.0, 0.8802179182926334];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.029366321777932164;4;16954
[0.0, 0.5003796868727534] | [0.24761947486442015, 0.0];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.05041051913868976;7;18194
[0.0, 0.25115679180414513] | [1.0, 0.6863950424048646];java.awt.Color[r=0,g=0,b=0];5.828934342469877E-157;2.7885587396982543E-154;0.04851353038977825;7;11252
[0.1331317874519633, 0.18423819690908666] | [1.0, 0.753471817498567];java.awt.Color[r=255,g=255,b=255];1000.0;3.919007346444161E-218;0.04309580336678381;3;1854
[0.5611531325928985, 0.37519963138031465] | [0.8130871119008282, 0.8924680784106813];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.4208233466463006;23;2100
[0.8130789131490623, 1.0] | [0.5602868599595201, 0.44226098882935333];java.awt.Color[r=255,g=255,b=255];999.9999999999999;1.1368683772161605E-13;0.08240517428186064;5;3238
[1.0, 0.7495959286566406] | [0.2501937416784273, 0.5045841207820055];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.07230993570958143;9;8876
[0.43615871227659964, 0.3758831646455323] | [0.31439894324699996, 0.1794386070848293];java.awt.Color[r=255,g=255,b=255];999.9999931237159;1.6732293100768134E-4;0.45320264686338846;13;1142
[0.3121226642907732, 0.18932320874264075] | [0.3111829335466709, 0.25141597788387837];java.awt.Color[r=229,g=178,b=146];1000.0;2.030558081167853E-144;0.4021628589843929;12;1080
[1.0, 0.8137703860861323] | [0.9001383023375066, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.05370274971008172;7;23292
[1.0, 0.8752365727717083] | [0.4368988682839832, 0.18939980059912703];java.awt.Color[r=139,g=69,b=19];999.9999999999999;1.1368683772161605E-13;0.15210322554332542;9;4324
[0.43710601271063143, 0.625051837535084] | [0.12693102019008448, 0.9968090287271636];java.awt.Color[r=229,g=178,b=146];1.8093136768553241E-255;1.4010120904851434E-252;0.05051225999627362;7;22828
[0.7780657053327859, 0.31963743815459744] | [1.0, 0.8752504188236954];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.0647900444179916;6;8158
[0.18905931921150917, 0.3749610414039427] | [0.1903129565274948, 0.35312411549884715];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.10691074167497068;11;4478
[0.5077351928472716, 0.6257304088350311] | [0.6247421184679036, 0.573944902819913];java.awt.Color[r=255,g=0,b=0];1.1391186169196433E-106;3.7211208153683566E-104;0.26865613390252435;6;854
[0.43878793191234317, 0.8059660445054542] | [0.6806749494416442, 0.310045692842534];java.awt.Color[r=229,g=178,b=146];2.22982254067655E-177;1.2033608977851145E-174;0.04326070560762063;6;18948
[0.44100211917706, 0.6859877727093845] | [0.7498080906558633, 0.2578991720745642];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.03315915875072608;5;16648
[0.8707051286877416, 0.8122013187914834] | [0.2505169899887439, 0.4354687281231];java.awt.Color[r=0,g=0,b=255];1000.0;3.3584515628323694E-182;0.15475098397335546;9;1516
[0.6875368466779447, 0.6268166254286386] | [0.5637222968189334, 0.6178307843595642];java.awt.Color[r=0,g=0,b=255];8.978418545951144E-52;1.4568766314480791E-49;0.34751632445823055;5;462
[0.3111245279198034, 0.18932320874264075] | [0.335273145626893, 0.3683632175386411];java.awt.Color[r=229,g=178,b=146];7.859199108545424E-63;1.537732184472267E-60;0.24801201667239814;9;584
[0.0, 0.5682445332447162] | [0.3133649770776765, 0.6878720562616705];java.awt.Color[r=255,g=255,b=255];2.427974321540383E-199;1.4705431140796277E-196;0.07411639957166115;9;29248
[0.21392825127846138, 0.18897059326415266] | [0.186327145728851, 0.8721189046421605];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.034226812477853086;5;2410
[0.12291451587274126, 0.0] | [0.6272770785370927, 0.33646926741524136];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.057028858979454415;5;4708
[1.0, 0.8137703860861323] | [0.9004402624445162, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.06137424547197274;8;22092
[0.8396794290240281, 0.042720702551411624] | [1.0, 0.8746964055205082];java.awt.Color[r=255,g=0,b=0];1.9624861862663026E-210;1.2540286730241684E-207;0.08726828539205582;11;13258
[0.5611531325928985, 0.37519963138031465] | [0.8130871119008282, 1.0];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.10311807519041383;6;4634
[0.49427781494209233, 0.0] | [0.6249825662489658, 0.44307402195594603];java.awt.Color[r=0,g=0,b=255];4.9E-324;1.0E-323;0.02743767957233953;5;11848
[0.3323071659148309, 0.0] | [1.0, 0.9437214507118655];java.awt.Color[r=255,g=255,b=255];1000.0;4.9E-324;0.029024970935670406;2;2452
[0.21707850384782507, 0.5504427226429636] | [0.0, 0.18311853081434107];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.0330116746696103;5;8314
[0.0, 0.12437471831722129] | [0.0478017606455598, 1.0];java.awt.Color[r=0,g=0,b=0];4.9E-324;1.0E-323;0.031387339478151303;7;15314
[0.9950575251394045, 0.0] | [1.0, 0.8802179182926334];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.07810738069101164;10;15708
[0.6867504442148352, 1.0] | [0.0, 1.0];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.05612960619269236;8;41480
[1.0, 0.8045349045842058] | [0.7454595603956194, 0.5622009963894414];java.awt.Color[r=255,g=255,b=255];4.9E-324;1.0E-323;0.07594189577170399;8;4712
[0.44038627634996286, 0.49596952320811954] | [0.6892601776707035, 0.8593998634993284];java.awt.Color[r=255,g=255,b=255];1000.0;2.2629405305697889E-172;0.23108682519069781;12;1312
[0.44038627634996286, 0.49596952320811954] | [0.6892601776707035, 0.8647159098814176];java.awt.Color[r=255,g=255,b=255];1000.0;7.617907792093183E-165;0.20111221657909262;10;1334
[0.4366874027349222, 0.12506484481421415] | [0.5903900047745835, 0.0];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.07310359308077718;10;24452
[1.0, 0.8137703860861323] | [0.9382660002528216, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.030766338648262545;4;22584
[1.0, 0.6257518828436619] | [0.4053019686085805, 0.6885226829904658];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.06843354958325634;9;13724
[0.7700534277468027, 1.0] | [0.5602898402826777, 0.4390475411151188];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.03928785047787272;4;3694
[0.15759156465153557, 0.5724862369577773] | [0.0, 0.18764274358137834];java.awt.Color[r=139,g=69,b=19];2.0478423180994626E-155;9.699946446731133E-153;0.07002782939578803;11;10356
[0.1387369143947531, 0.40965625598436306] | [0.9404504527755225, 1.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.12734120203890184;8;2078
[0.1864072856860335, 0.312915317841574] | [0.7637864870911378, 0.8756795838003713];java.awt.Color[r=229,g=178,b=146];999.4768895916275;5.061742811412815;0.055161277169727504;1;1774
[0.5500895780534202, 0.124649308756825] | [0.8147058393300198, 0.8802179182926334];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.021496271570224833;3;3712
[0.0, 0.9363396122718768] | [0.0, 0.18764274358137834];java.awt.Color[r=139,g=69,b=19];4.9E-324;1.0E-323;0.049789818769814254;8;22880
[0.7188219912856028, 1.0] | [0.0, 1.0];java.awt.Color[r=255,g=0,b=0];4.9E-324;1.0E-323;0.056119293285849595;8;36390
[0.8340509432793615, 0.0] | [0.12473916878164569, 0.0];java.awt.Color[r=229,g=178,b=146];4.9E-324;1.0E-323;0.04161873078473328;5;13344
